example,N,lambda,m,x,error,log10_error
6.2,160,20,5,-0.972781508465211609,8.63711361437011994e-4,-3.06363136756568284
6.2,160,20,5,-0.969798800573089612,5.48798370389419982e-4,-3.2605871869003086
6.2,160,20,5,-0.966567560906830904,3.04140851939310361e-4,-3.51692524187416981
6.2,160,20,5,-0.963074232739711324,1.20482829077768574e-4,-3.91907484328116888
6.2,160,20,5,-0.959305041828306433,1.10574255169698511e-5,-4.95634597736445724
6.2,160,20,5,-0.955246026539891413,9.89026529357071772e-5,-4.0047920588589804
6.2,160,20,5,-0.950883069786804747,1.50942109610975628e-4,-3.82118958447577773
6.2,160,20,5,-0.946201932704867929,1.74468141849157281e-4,-3.75828386430513752
6.2,160,20,5,-0.94118829000527156,1.76124515565665891e-4,-3.75418018841742029
6.2,160,20,5,-0.935827766921821041,1.61867018418368619e-4,-3.79084163289016407
6.2,160,20,5,-0.930105977668111448,1.36936675638923997e-4,-3.86348021954738948
6.2,160,20,5,-0.92400856531209911,1.05845735938979672e-4,-3.97532663311431652
6.2,160,20,5,-0.91752124296868428,7.23763919517241562e-5,-4.14040307077898384
6.2,160,20,5,-0.910629836204341874,3.9592002999355104e-5,-4.40239252629623031
6.2,160,20,5,-0.90332032654156135,9.86038899026722912e-6,-5.00610595189506905
6.2,160,20,5,-0.895578895944907262,1.51114344346943052e-5,-4.82069430882416109
6.2,160,20,5,-0.887391972164912793,3.42319049860273256e-5,-4.46556893194891045
6.2,160,20,5,-0.87874627481079235,4.69699621048924247e-5,-4.3281797902030136
6.2,160,20,5,-0.869628862018127646,5.32916902359406007e-5,-4.27334050515783063
6.2,160,20,5,-0.860027177573264863,5.35899209443064473e-5,-4.27091688362585628
6.2,160,20,5,-0.849929098352177355,4.86083108266047613e-5,-4.31328947070556318
6.2,160,20,5,-0.839322981928016458,3.93615466316701177e-5,-4.40492784518979972
6.2,160,20,5,-0.828197714198508206,2.70534418002873034e-5,-4.56777747511247637
6.2,160,20,5,-0.816542756881770585,1.29947767077593451e-5,-4.88623117868094718
6.2,160,20,5,-0.804348194727037195,1.4772046481370117e-6,-5.83055933447822149
6.2,160,20,5,-0.791604782285189924,1.50756986142701577e-5,-4.82172255333093166
6.2,160,20,5,-0.778303990082934959,2.66357061583103302e-5,-4.57453578483401637
6.2,160,20,5,-0.764438050043910819,3.51779544341637077e-5,-4.45372941797076201
6.2,160,20,5,-0.75,3.99635463596483397e-5,-4.39833597950293452
6.2,160,20,5,-0.734983727136631382,4.05376202399865328e-5,-4.39214175014172233
6.2,160,20,5,-0.719384010216911023,3.6760450934687274e-5,-4.4346191698309422
6.2,160,20,5,-0.703196560431004797,2.88246116303391363e-5,-4.54023653547947035
