example,N,lambda,m,x,error,log10_error
6.1,80,5,3,-0.5,0.00385198449070906218,-2.4143154701490172
6.1,80,5,3,-0.459969517674213385,0.00408692349269150167,-2.38860349221571421
6.1,80,5,3,-0.418462989420939487,0.00396790058829518374,-2.40143921718713151
6.1,80,5,3,-0.375555082641581506,0.00348189072510402299,-2.45818486280772356
6.1,80,5,3,-0.331329664033557524,0.00263746413692512182,-2.57881343699905286
6.1,80,5,3,-0.285879561111693421,0.00146658201335409915,-2.83369364563862447
6.1,80,5,3,-0.239306267191186554,2.5681241984852513e-5,-4.59038397693787897
6.1,80,5,3,-0.191719591223448802,0.00160407451329404331,-2.7947754615127022
6.1,80,5,3,-0.143237254218789432,0.00331747588650679372,-2.47919222517644282
6.1,80,5,3,-0.0939844343225147581,0.00498694696472117659,-2.30216525040032844
6.1,80,5,3,-0.0440932629315471094,0.00646524855895065164,-2.18941477384536253
6.1,80,5,3,0.00629772545488217274,0.0075891860260379807,-2.11980480162189776
6.1,80,5,3,0.0570441866664285093,0.00818425299738284467,-2.08702095387201849
6.1,80,5,3,0.107996600317967731,0.00807009252525790706,-2.09312148597451069
6.1,80,5,3,0.159000939781062167,0.00706660957819084885,-2.15078890227819994
6.1,80,5,3,0.209899374928329782,0.00500052663518770051,-2.30098425512159794
6.1,80,5,3,0.260531003698736273,0.00171214032861120855,-2.76646064302106081
6.1,80,5,3,0.310732608345857634,0.00293798575067519599,-2.53195031488277395
6.1,80,5,3,0.360339432070125938,0.00906266690044593032,-2.04274398226643965
6.1,80,5,3,0.409185971600980505,0.0167423525252317484,-1.77618351785155003
6.1,80,5,3,0.457106781186547524,0.0260202431597268262,-1.58468864926428077
6.1,80,5,3,0.503937283367646772,0.0368984900854814482,-1.43299140514067448
6.1,80,5,3,0.549514581860088655,0.0493356550877140393,-1.30683910078302752
6.1,80,5,3,0.59367827184472128,0.0632455556327032954,-1.19896998765425986
6.1,80,5,3,0.63627124296868428,0.0784975626150342643,-1.10514382808627409
6.1,80,5,3,0.67714047039381768,0.0949183573151877249,-1.02264978641680011
6.1,80,5,3,0.716137789288978919,0.112295094847229334,-0.949639213705655524
6.1,80,5,3,0.753120648251784331,0.130379866444939526,-0.88478946816663641
6.1,80,5,3,0.787952837261486145,0.148895305220904723,-0.827118995658158109
6.1,80,5,3,0.820505185907627213,0.16754114164156599,-0.775878529558874583
6.1,80,5,3,0.850656227807923637,0.186001487196840387,-0.7304835833154215
6.1,80,5,3,0.878292827322491869,0.203952608075963796,-0.690470736702575193
6.1,80,5,3,0.903310764888890428,0.221070944772079207,-0.655468332746220011
6.1,80,5,3,0.925615277542170343,0.237041137431081919,-0.625176277580750638
6.1,80,5,3,0.945121551444768567,0.251563828929063148,-0.599351803710906429
6.1,80,5,3,0.961755163531052138,0.264363036287070442,-0.577799268773359564
6.1,80,5,3,0.975452469668926119,0.275192904182568938,-0.560362768525497492
6.1,80,5,3,0.986160937054345446,0.283843680148208499,-0.546920771008111162
6.1,80,5,3,0.993839418881912408,0.290146777960122221,-0.537382247852885097
6.1,80,5,3,0.998458369674004929,0.293978822473861618,-0.531683953989235062
6.1,80,5,3,1.0,0.295264594961121067,-0.529788625960275724
